KK_ans	KK_time		R1_RR_ans	R1_RR_time		R1_HC_ans	R1_HC_time		R1_SA_ans	R1_SA_time		R2_RR_ans	R2_RR_time		R2_HC_ans	R2_HC_time		R2_SA_ans	R2_SA_time
4159	0.00115513801575		7366235819	0.07106590271		414601613	0.0309610366821		3627112697	0.0321409702301		1107	2.32033610344		1247	2.21223711967		1465	2.28802204132
43275	0.000604867935181		3428368929	0.0633261203766		1290392141	0.0311889648438		3066716237	0.032644033432		463	2.31787991524		529	2.14801883698		745	2.23176312447
168903	0.000590085983276		6631489665	0.0641191005707		703921449	0.0311110019684		8324132055	0.0323438644409		1791	2.30008101463		15627	2.24012494087		337	2.21530294418
383553	0.000606060028076		3661584187	0.0625231266022		1277088199	0.0310208797455		1055448347	0.0321311950684		297	2.31015300751		8491	2.10038590431		533	2.2349550724
384454	0.000606060028076		1420462400	0.0624539852142		1916997124	0.0310809612274		2062717254	0.0324041843414		3836	2.3172287941		2262	2.22756695747		944	2.22930002213
19343	0.000607967376709		3556839465	0.0626571178436		3020633049	0.0309548377991		5592291155	0.0323798656464		2467	2.3025021553		11133	2.18531990051		2171	2.25131702423
2357	0.000598907470703		2539925255	0.0627191066742		116123043	0.031182050705		4734714363	0.0335819721222		697	2.29922914505		539	2.29016089439		4853	2.21870303154
75729	0.000602006912231		1450739493	0.0622420310974		4047141875	0.031240940094		461822271	0.0322930812836		153	2.31119012833		561	2.23327684402		723	2.24158811569
10008	0.000603914260864		5726990406	0.0626108646393		659223110	0.0312471389771		4302141902	0.0323069095612		970	2.3214161396		732	2.20956707001		760	2.24675893784
718914	0.000592947006226		2309208300	0.0623209476471		201420288	0.0323150157928		5495030384	0.0358221530914		2002	2.36310601234		8024	2.41252207756		1322	2.62111902237
74651	0.000640153884888		14146895417	0.0627899169922		1202449655	0.0359320640564		1133847805	0.0342590808868		639	2.46877503395		191	2.22223687172		1703	2.24221491814
207239	0.000591039657593		698357539	0.0626938343048		3612592145	0.0306940078735		1879290227	0.0323088169098		3371	2.29601716995		1561	2.2136900425		2377	2.21382188797
65874	0.000599145889282		2325343522	0.0629229545593		1766711656	0.0311541557312		821224196	0.0323939323425		8436	2.29552602768		1156	2.24552106857		416	2.21957302094
123705	0.000636100769043		2438149143	0.0652670860291		190373197	0.0316050052643		6780941697	0.0328090190887		1747	2.29667186737		9	2.27954697609		3659	2.22760510445
25125	0.000589847564697		8089417811	0.0622401237488		2061634137	0.0336470603943		1106783591	0.0334630012512		2257	2.29673504829		837	2.22993087769		529	2.22042298317
36182	0.000593900680542		1200583770	0.0623548030853		4232259020	0.0312240123749		859400420	0.0325980186462		366	2.29358696938		3542	2.19881081581		1490	2.22615909576
546694	0.000602006912231		1213059018	0.062509059906		466311484	0.0315380096436		589663898	0.032408952713		436	2.3063659668		1794	2.20352101326		364	2.23305702209
583437	0.000591039657593		1455574265	0.0639960765839		4029471371	0.0318729877472		2291239007	0.032436132431		3571	2.29249787331		691	2.27679419518		865	2.21775889397
15001	0.00059986114502		1176521205	0.0627729892731		949092283	0.0314011573792		4119007819	0.0336608886719		2467	2.29425001144		2267	2.24353408813		1229	2.22623109818
86071	0.000590801239014		1236012667	0.0626819133759		1343316285	0.0308361053467		2390489673	0.0321900844574		3635	2.29805898666		5641	2.18594002724		1003	2.23176884651
116021	0.000594139099121		2220312249	0.062530040741		1071001405	0.0312299728394		1420453279	0.0325410366058		2459	2.29264688492		9161	2.17077612877		6193	2.22429394722
109541	0.000600099563599		567530047	0.064199924469		991091273	0.0309240818024		2781048351	0.0331208705902		3625	2.29306316376		2257	2.24949383736		1751	2.24043107033
635809	0.000602960586548		1311027587	0.0630400180817		503306003	0.031357049942		1472095745	0.0339820384979		2039	2.3043448925		4911	2.19919204712		6525	2.22609806061
644888	0.000593900680542		3168367986	0.0625240802765		625100042	0.0312850475311		4470009710	0.0326797962189		864	2.29322814941		7628	2.24599003792		860	2.24437594414
94624	0.000606060028076		3018171266	0.065258026123		1013346924	0.0314338207245		294597048	0.0325272083282		874	2.30500793457		202	2.25763702393		514	2.22421097755
405959	0.000595092773438		429068321	0.0636529922485		676522093	0.0318229198456		3557245323	0.032427072525		945	2.30129504204		153	2.2811088562		1031	2.22704195976
118006	0.000590085983276		698139602	0.0654969215393		1425134864	0.0321180820465		3800710782	0.0325419902802		686	2.29140090942		4026	2.3087310791		5236	2.26870512962
69619	0.000602006912231		358996455	0.0678491592407		238134425	0.0313470363617		1440552079	0.0340838432312		823	2.34938097		2325	2.26999497414		5559	2.26796197891
187318	0.000601053237915		3420565160	0.0659871101379		301998606	0.0315170288086		2114330340	0.0327639579773		266	2.33031511307		1916	2.2463080883		1426	2.29833388329
53405	0.00072193145752		4321873675	0.0642020702362		1018193843	0.0314619541168		665566931	0.03284907341		2795	2.34021902084		7585	2.27550911903		3613	2.33790898323
153780	0.000598907470703		1141757092	0.0638501644135		1115684822	0.0318658351898		1856456306	0.0325679779053		870	2.3085091114		2804	2.19032001495		1086	2.25569915771
165048	0.000613927841187		4655617230	0.0646479129791		2817058104	0.03147315979		2452679816	0.0331599712372		2872	2.33384490013		1280	2.29564905167		7704	2.2364089489
158882	0.000600099563599		3892701716	0.0664129257202		1882826352	0.0317058563232		1970455020	0.0333371162415		2236	2.33034801483		1142	2.28407001495		182	2.23612999916
703464	0.000610113143921		2817103320	0.0641379356384		866224932	0.0316741466522		8143642278	0.032763004303		3222	2.33735609055		9302	2.20808982849		338	2.25493407249
154698	0.00060510635376		637317654	0.0636179447174		582181018	0.0313129425049		2300465026	0.0339360237122		662	2.30839395523		2134	2.12109684944		3558	2.23584008217
48756	0.000622987747192		1631085384	0.0629949569702		658709026	0.0314970016479		4070851662	0.0327470302582		2246	2.31589412689		19018	2.1861269474		584	2.22610092163
27261	0.000607013702393		1111908871	0.0623159408569		1338483249	0.0316100120544		4214618621	0.0324809551239		105	2.29602313042		1875	2.19361591339		1819	2.22257614136
167944	0.000597953796387		7012789900	0.0625560283661		248671192	0.0312769412994		665335362	0.0353999137878		18	2.31524085999		102	2.19943809509		1606	2.23215603828
67568	0.000605821609497		958067900	0.0683581829071		3423237288	0.0332429409027		8009481436	0.032436132431		5064	2.29516386986		1650	2.21171283722		1494	2.25285506248
13326	0.000615119934082		1178793972	0.0640168190002		263651390	0.0354020595551		390435854	0.0364921092987		3158	2.40176796913		2990	2.26620006561		2116	2.22008490562
87186	0.000597953796387		4049499508	0.0625801086426		1358016392	0.0313198566437		3307221762	0.0324339866638		396	2.29983615875		1350	2.23513197899		2008	2.2259581089
12527	0.000617980957031		6649880245	0.0624859333038		212633145	0.0314321517944		1262476745	0.0326130390167		79	2.29992294312		6491	2.23469495773		2351	2.22016406059
235857	0.000592947006226		1640618781	0.0624780654907		6425771789	0.0320279598236		1603479063	0.0335609912872		4577	2.30728912354		43	2.24497413635		977	2.27497792244
861700	0.000602006912231		7386431108	0.0628800392151		1946127024	0.0346610546112		482255632	0.0332410335541		884	2.32881307602		5534	2.20183086395		1510	2.31466197968
180961	0.000598907470703		257127061	0.0631580352783		1212149403	0.031327009201		5552476419	0.039412021637		2813	2.30502891541		579	2.35100913048		2587	2.2058339119
137732	0.00058913230896		2742712010	0.0625369548798		2387298618	0.031350851059		3188877838	0.0326571464539		526	2.28819513321		854	2.24377989769		1254	2.32568502426
10386	0.000586986541748		4571706758	0.0628321170807		1557215454	0.037652015686		369391248	0.0330820083618		538	2.33523702621		5128	2.26728391647		1374	2.3273639679
502680	0.000601053237915		5338134158	0.0700700283051		44268366	0.0328319072723		3720311876	0.0345711708069		2282	2.37245082855		162	2.2723710537		8548	2.25076913834
299227	0.000598907470703		999233563	0.0662770271301		124561053	0.0315871238708		3110565247	0.0332040786743		3315	2.34092187881		3673	2.23347401619		3959	2.26783895493
253707	0.000601053237915		928338761	0.062628030777		27592819	0.0324141979218		3984079325	0.03382396698		2179	2.39799380302		649	2.30296802521		6263	2.34384894371
